CMPD_CHEMBLID,exp,smiles,,,,,,
CHEMBL38922,3.1,CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1c2cccc(c2)[N+](=O)[O-],,,,,,
CHEMBL124264,2.46,Nc1cccc2C(=O)c3ccccc3Cc12,,,,,,
CHEMBL553593,1.21,Cl.Cl.CN(C)CCN1C(=O)N2c3ccccc3C(=O)c4c(NCCN)ccc(C1=O)c24,,,,,,
CHEMBL123692,3.19,Oc1ccc2Cc3ccccc3C(=O)c2c1O,,,,,,
CHEMBL123787,2.79,Oc1cccc2C(C=O)c3cccc(O)c3C(=O)c12,,,,,,
CHEMBL104,6.14,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,,,,,,
CHEMBL82722,0.25,COc1ccc2N3C(=O)N(CCN(C)C)C(=O)c4ccc(NCCNCCO)c(C(=O)c2c1)c34,,,,,,
CHEMBL122386,2.45,Nc1cccc2Cc3ccccc3C(=O)c12,,,,,,
CHEMBL13784,1.93,[O-][N+](=O)c1ccc(Cn2ccnc2)cc1,,,,,,
CHEMBL1627847,2.81,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@H](F)[C@@H]2O,,,,,,
CHEMBL85087,1.39,COc1cc2N3C(=O)N(CCN(C)C)C(=O)c4ccc(NCCN(C)C)c(C(=O)c2cc1OC)c34,,,,,,
CHEMBL40438,2.51,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OC)c2ccccc2[N+](=O)[O-])\\O,,,,,,
CHEMBL125592,3.44,COc1cccc2Cc3cccc(O)c3C(=O)c12,,,,,,
CHEMBL415019,3.37,OCc1cc(O)c2C(=O)c3c(O)cccc3Cc2c1,,,,,,
CHEMBL124241,2.66,Oc1ccccc1C(=O)c2ccccc2O,,,,,,
CHEMBL46469,4.23,Oc1cccc2Cc3cccc(O)c3C(=O)c12,,,,,,
CHEMBL123161,3.99,Oc1cccc2Cc3ccccc3C(=O)c12,,,,,,
CHEMBL1627374,3.3,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@H](F)[C@@]2(O)C#C,,,,,,
CHEMBL35107,1.86,CC(C)C[C@H](O)[C@H](O)[C@@H](N)CC1CCCCC1,,,,,,
CHEMBL40387,4.7,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OCC)c2ccc(I)cc2)\\O,,,,,,
CHEMBL122196,4.8,Cc1cc(O)c2C(=O)c3c(O)cccc3Cc2c1,,,,,,
CHEMBL82952,2.02,CN(C)CCNc1ccc2C(=O)NC(=O)N3c4ccccc4C(=O)c1c23,,,,,,
CHEMBL274056,3.7,Oc1ccc(O)c2C(=O)C=CC(=O)c12,,,,,,
CHEMBL86287,1.94,CN(C)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccccc4C(=O)c1c23,,,,,,
CHEMBL84219,1.12,CN(C)CCN(C)c1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccccc4C(=O)c1c23,,,,,,
CHEMBL421615,2.96,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3Cc2c1,,,,,,
CHEMBL106514,4.87,Oc1cccc2C(SCc3ccccc3)c4cccc(O)c4C(=O)c12,,,,,,
CHEMBL23832,3.08,OC(=O)c1ccccc1Nc2ccccc2,,,,,,
CHEMBL125502,5.89,CCCCc1ccc2Cc3cccc(O)c3C(=O)c2c1O,,,,,,
CHEMBL126813,8.01,CC(=CCc1c(C)c(CC=C(C)C)c2Cc3c(CC=C(C)C)c(O)cc(O)c3C(=O)c2c1O)C,,,,,,
CHEMBL193,2.06,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,,,,,,
CHEMBL123148,2.6,COc1cccc2C(=O)c3cccc(O)c3Cc12,,,,,,
CHEMBL125254,4.37,CCC1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL123724,3.81,Oc1cccc2C(C(=O)c3ccccc3)c4cccc(O)c4C(=O)c12,,,,,,
CHEMBL85039,0.91,CN(C)CCN1C(=O)N2c3ccccc3C(=O)c4c(NCCNCCO)ccc(C1=O)c24,,,,,,
CHEMBL83128,0.47,CN(C)CCN1C(=O)N2c3ccc(O)cc3C(=O)c4c(NCCNCCO)ccc(C1=O)c24,,,,,,
CHEMBL126057,4.59,CCC(=O)c1ccc2Cc3cccc(O)c3C(=O)c2c1O,,,,,,
CHEMBL273643,3.96,COC1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL287902,3.22,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OCC)c2cccc(OC)c2)\\O,,,,,,
CHEMBL691,3.42,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,,,,,,
CHEMBL53418,4.16,Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,,,,,,
CHEMBL91,5.84,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,,,,,,
CHEMBL421625,3.99,Oc1cccc2Cc3cccc(C(=O)c4ccccc4)c3C(=O)c12,,,,,,
CHEMBL125328,4.1,COC1c2c(Cc3cccc(OC)c13)cccc2OC,,,,,,
CHEMBL127993,3.94,Oc1cccc2C(Br)c3cccc(O)c3C(=O)c12,,,,,,
CHEMBL125821,5.05,Clc1cccc2C(=O)c3cccc(Cl)c3Cc12,,,,,,
