CMPD_CHEMBLID,exp,smiles
CHEMBL543415,6.4,Cl.CC(C)CNCc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL541597,0.72,Cl.CC(C)(C)NCc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL277078,-0.42,CN1CCN(CC(=O)N2c3ccccc3NC(=O)c4cccnc24)CC1
CHEMBL19,0.06,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
CHEMBL75858,1.27,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cc(F)cc2Cl
CHEMBL75296,0.26,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(F)cccc2F
CHEMBL545756,15.1,Cl.NS(=O)(=O)c1cc(cs1)C(=O)c2ccc(CN3CCOCC3)cc2
CHEMBL541856,4.1,Cl.CC(C)CNCc1cccc(c1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL597,0.82,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3
CHEMBL144383,3.652,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(=O)O)c2ccccc2)\\S)cc1
CHEMBL144716,0.09,NS(=O)(=O)c1ccc(N\\C(=N\\C(CS)C(=O)O)\\S)cc1
CHEMBL308821,1.03,Cc1cccc(Nc2ccccc2CC(=O)O)c1C
CHEMBL1032,0.27,OC(=O)Cc1cc(O)ccc1Nc2c(Cl)cc(O)cc2Cl
CHEMBL540835,52,Cl.NS(=O)(=O)c1cc(cs1)C(=O)c2ccc(CNCc3ccccc3)cc2
CHEMBL542219,2.3,Cl.CCN(CC)Cc1cc(ccc1O)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL541080,0.21,Cl.CN(C)Cc1cc(ccc1O)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL123979,14.7,COc1ccc(cc1)S(=O)(=O)c2coc(c2)S(=O)(=O)N
CHEMBL77914,1.73,[Na+].Oc1cccc(Nc2c(Cl)cccc2Cl)c1CC(=O)[O-]
CHEMBL28274,1.43,CN1CC2(CCN(CC(O)C3COc4ccccc4O3)CC2)OC1=O
CHEMBL281949,1.92,CCN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
CHEMBL431883,2.4,CC(C)N1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
CHEMBL151150,1.1,CN[C@]12CCCC[C@H]1CCc3ccccc23
CHEMBL75811,1.69,[Na+].Cc1ccc(Cl)c(Nc2ccccc2CC(=O)[O-])c1Cl
CHEMBL125102,26,NS(=O)(=O)c1cc(cs1)C(=O)c2ccc(O)cc2
CHEMBL341037,146,Cc1ccc(cc1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL555588,14.8,Cl.CC(C)CNCc1ccccc1S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL449952,1.59,Cc1cccc(Nc2ccccc2CC(=O)O)c1Cl
CHEMBL25517,2.41,OC(CN1CCC2(CC1)OC(=O)NC2c3ccccc3)C4COc5ccccc5O4
CHEMBL24740,0.69,COc1ccccc1OCC(O)CN2CCC3(CC2)CNC(=O)O3
CHEMBL75631,1.24,COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1
CHEMBL76372,1.64,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2I
CHEMBL545527,2.7,Cl.CCN(CC)Cc1ccc(cc1O)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL77981,1.64,OC(=O)Cc1ccccc1Nc2cc(Cl)ccc2Cl
CHEMBL18,25,CCOc1ccc2nc(sc2c1)S(=O)(=O)N
CHEMBL76300,1.18,COc1ccc(Cl)c(Nc2ccccc2CC(=O)O)c1Cl
CHEMBL413114,57,COc1ccc(cc1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL333588,43,Cc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL9967,-0.64,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1
CHEMBL144946,2.314,NS(=O)(=O)c1ccc(N\\C(=N\\C(C(O)c2ccccc2)C(=O)O)\\S)cc1
