CMPD_CHEMBLID,exp,smiles
CHEMBL328566,6,COC(=O)CCCCCCCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL264307,7.334453751,NS(=O)(=O)c1nnc(NC(=O)CCCCCCCC(=O)O)s1
CHEMBL7816,4.397940009,CCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCC)OC1=O
CHEMBL7816,4.397940009,CCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCC)OC1=O
CHEMBL7816,4.397940009,CCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCC)OC1=O
CHEMBL7738,5.301029996,CCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL7738,5.301029996,CCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL7738,5.301029996,CCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL89489,7.06069784,COC(=O)CCCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL7706,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7706,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7706,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7309,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7309,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7309,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL90119,6.113943352,CCCCCOC(=O)CCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL7825,5.301029996,CCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7825,5.301029996,CCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7825,5.301029996,CCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL92500,6.505149978,COC(=O)CCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL88183,6.146128036,CCCCCOC(=O)CCC(=O)\\N=C/1\\SC(=NN1C)S(=O)(=O)N
CHEMBL8134,5.301029996,CCCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL8134,5.301029996,CCCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL8134,5.301029996,CCCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL91512,6.86332286,COC(=O)CCC(=O)\\N=C/1\\SC(=NN1C)S(=O)(=O)N
CHEMBL218490,7.77815125,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
CHEMBL20,6.505149978,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL138253,7.819543936,CN1N=C(S/C/1=N\\S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)N
CHEMBL19,7.079181246,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N
CHEMBL94836,7.792391689,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1
CHEMBL341760,7.633468456,NS(=O)(=O)c1nnc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)s1
CHEMBL140941,7.838849091,CN1N=C(S/C/1=N/S(=O)(=O)C(F)(F)F)S(=O)(=O)N
CHEMBL337369,7.698970004,NS(=O)(=O)c1nnc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s1
CHEMBL151008,4.041392685,Cn1c(OC(=O)Nc2ccc(cc2)N(CCCl)CCCl)ncc1[N+](=O)[O-]
CHEMBL23330,6.204119983,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL155391,4,[O-][N+](=O)c1ccc(OC(=O)Nc2ccc(cc2)N(CCCl)CCCl)s1
CHEMBL351045,5.5774918,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)CSC(C)(C)C
CHEMBL37705,5.294466226,COc1cc2cc([nH]c2c(OC)c1OC)C(=O)N3CC(CCl)c4c3cc(N)c5ccccc45
CHEMBL23612,4.602059991,NC(=O)c1cc(N(CCBr)CCBr)c(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL26897,3.447158031,CN1C(=O)N(C)c2nc(\\C=C\\c3ccccc3)n(C)c2C1=O
CHEMBL190,7.64738297,CN1C(=O)N(C)c2nc[nH]c2C1=O
CHEMBL325043,9.08278537,CN1C(=O)N2CCN=C2c3c1ncn3C
CHEMBL282993,2.342422681,CN1C(=O)N(C)c2[nH]c(\\C=C\\c3ccccc3)nc2C1=O
CHEMBL113,8.033423755,CN1C(=O)N(C)c2ncn(C)c2C1=O
CHEMBL117899,6.161368002,CN1C(=O)N2CCN=C2c3c1nc(c4ccccc4)n3C
CHEMBL21053,5.687528961,CN1C(=O)N(C)c2nc(c3ccccc3)n(C)c2C1=O
CHEMBL62350,4,CN1C(=O)N(C)c2[nH]c(nc2C1=O)c3ccccc3
CHEMBL115208,5,N[C@@H](Cc1cc(Cl)c(Oc2ccc(O)c(Cc3ccc(O)nc3)c2)c(Cl)c1)C(=O)O
CHEMBL161956,-0.958607315,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL351629,1.643452676,CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL165731,1.602059991,Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1
CHEMBL161032,7.792391689,NS(=O)(=O)c1nnc(NC(=O)CCNCC2=CC(=O)Oc3cc(Cl)ccc23)s1
CHEMBL53711,-1.22184875,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL23812,5.73239376,CC(c1ccccc1)n2cncc2C(=O)OCCC3(C)N=N3
CHEMBL166255,1.653212514,CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL165630,1.556302501,OCCN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL161205,7.857332496,NS(=O)(=O)c1nnc(NN2C(=O)c3cccnc3C2=O)s1
CHEMBL165495,-0.397940009,Cc1cccc(Nc2ncnc3cnc(N)cc23)c1
CHEMBL163369,1.301029996,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL53753,-1,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL166307,1.505149978,CN1CCN(CC1)NCCCNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2
CHEMBL162223,1.230448921,Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1
CHEMBL162719,0.397940009,CN1CCN(CC1)c2cc3c(Nc4cccc(Br)c4)ncnc3cn2
CHEMBL162053,1.591064607,CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL165574,1.643452676,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1
CHEMBL166093,-0.677780705,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL349070,1.579783597,CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL162142,1.176091259,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1
CHEMBL165508,1.079181246,Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1
CHEMBL165547,-0.744727495,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
